Year,relationship,x,y,n,slope,intercept,r,r2,p_value
2000,Gini vs Poverty60,Gini,Poverty60,98,0.03824899285878057,7.782799062991164,0.043720266516191535,0.0019114617042468186,0.6690444125056604
2001,Gini vs Poverty60,Gini,Poverty60,98,0.1042330584495973,6.401813717682531,0.10297274267960534,0.010603385734960214,0.3129822637357055
2002,Gini vs Poverty60,Gini,Poverty60,98,0.13157761263733805,5.288644288377987,0.13201616481708073,0.017428267773010625,0.19504275251920966
2003,Gini vs Poverty60,Gini,Poverty60,98,0.17157427121396535,4.410747927145458,0.17589029328146147,0.03093739527063853,0.0831992149427222
2004,Gini vs Poverty60,Gini,Poverty60,98,0.23710836404882948,3.489523993240203,0.21619058699703547,0.04673836990612276,0.032510942717458136
2005,Gini vs Poverty60,Gini,Poverty60,98,0.13742521437959182,5.873864625541833,0.1466856577320864,0.021516682184294797,0.14950242982720413
2006,Gini vs Poverty60,Gini,Poverty60,98,0.14362754274383888,5.4635237770316865,0.16608213597572496,0.027583275890259197,0.10217354893708326
2007,Gini vs Poverty60,Gini,Poverty60,98,0.11624637296880848,6.114150403173571,0.14985755279234228,0.022457286128909654,0.14080216359281827
2008,Gini vs Poverty60,Gini,Poverty60,98,0.18883204449382854,4.79694095555566,0.25925475402289383,0.06721302748347119,0.009943264924805668
2009,Gini vs Poverty60,Gini,Poverty60,98,0.21821707420740333,4.431751038512965,0.2837380762203929,0.08050729589724948,0.0046365325843988735
2010,Gini vs Poverty60,Gini,Poverty60,98,0.16392931005250141,5.863746959067317,0.20344123158141753,0.04138833470736396,0.044517090063442545
2011,Gini vs Poverty60,Gini,Poverty60,98,0.18827140506363604,5.2655247413991235,0.21216802237847848,0.04501526971999455,0.035962714232693496
2012,Gini vs Poverty60,Gini,Poverty60,98,0.21715588977251557,4.26859323166904,0.2400564421274292,0.057627095406879755,0.017271704447120916
2013,Gini vs Poverty60,Gini,Poverty60,98,0.1945285825558322,5.040759273410458,0.2122567120773732,0.045052911821896906,0.035883418868237364
2014,Gini vs Poverty60,Gini,Poverty60,98,0.13537434507054158,6.988376414978977,0.1565178783674473,0.024497846248647027,0.12378723684695968
2015,Gini vs Poverty60,Gini,Poverty60,98,0.11114892221466348,7.880490471532202,0.1388474168755966,0.019278605173025706,0.17272564990826414
2016,Gini vs Poverty60,Gini,Poverty60,98,0.09611184563810855,8.858612896277775,0.11618296806527285,0.013498482068456212,0.25459532142235713
2017,Gini vs Poverty60,Gini,Poverty60,98,0.11251755412632596,8.805056825480223,0.12980417561552976,0.01684912400722729,0.20269683929244767
2018,Gini vs Poverty60,Gini,Poverty60,98,0.11773438407144633,8.612631162248167,0.13403869492176232,0.01796637173632927,0.18822884728313471
2019,Gini vs Poverty60,Gini,Poverty60,98,0.0714393110955663,9.665798606862698,0.0854781912463481,0.007306521178747262,0.4026673762540184
2020,Gini vs Poverty60,Gini,Poverty60,98,0.09523866887402523,9.346923281193995,0.10333139947698954,0.010677378117873193,0.3112907679638584
2021,Gini vs Poverty60,Gini,Poverty60,98,0.043199623213815194,10.81908084836365,0.05143094921175529,0.0026451425368221523,0.6150058181911695
2022,Gini vs Poverty60,Gini,Poverty60,98,0.07985728919990688,9.399950412144857,0.10481147840867071,0.010985446006211246,0.30437332158323066
2023,Gini vs Poverty60,Gini,Poverty60,98,-0.010597405201103952,11.70674786986574,-0.018426553704597472,0.00033953788142841485,0.8570831881735214
2024,Gini vs Poverty60,Gini,Poverty60,98,-0.030783391737938526,12.46627168230884,-0.04528379771109113,0.002050622335139022,0.6579377507220961
2007,Poverty60 vs UnemploymentRate,Poverty60,UnemploymentRate,98,0.3037960114293233,0.6282821509863927,0.6291076570075226,0.3957764441054947,3.998621081849904e-12
2008,Poverty60 vs UnemploymentRate,Poverty60,UnemploymentRate,98,0.23523906752510415,0.1577018507788699,0.6270166290063587,0.39314985305049766,4.939799830305005e-12
2009,Poverty60 vs UnemploymentRate,Poverty60,UnemploymentRate,98,0.2531760720223346,2.0974076455765016,0.539656586761894,0.29122923163549763,9.809268304418797e-09
