Year,MunicipalityCode,Municipality,DecileCode,DecileNumber,Decile,AvgDisposableIncome
1987,000,All Denmark,1DC,1,First decil,31418
1987,000,All Denmark,2DC,2,Second decil,59014
1987,000,All Denmark,3DC,3,Third decil,68786
1987,000,All Denmark,4DC,4,Fourth decil,77577
1987,000,All Denmark,5DC,5,Fifth decil,85361
1987,000,All Denmark,6DC,6,Sixth decil,92777
1987,000,All Denmark,7DC,7,Seventh decil,100691
1987,000,All Denmark,8DC,8,Eigth decil,110184
1987,000,All Denmark,9DC,9,Ninth decil,123582
1987,000,All Denmark,10DC,10,Tenth decil,169598
1988,000,All Denmark,1DC,1,First decil,32746
1988,000,All Denmark,2DC,2,Second decil,62506
1988,000,All Denmark,3DC,3,Third decil,72540
1988,000,All Denmark,4DC,4,Fourth decil,81673
1988,000,All Denmark,5DC,5,Fifth decil,89941
1988,000,All Denmark,6DC,6,Sixth decil,97806
1988,000,All Denmark,7DC,7,Seventh decil,106102
1988,000,All Denmark,8DC,8,Eigth decil,116059
1988,000,All Denmark,9DC,9,Ninth decil,130083
1988,000,All Denmark,10DC,10,Tenth decil,178357
1989,000,All Denmark,1DC,1,First decil,35284
1989,000,All Denmark,2DC,2,Second decil,66606
1989,000,All Denmark,3DC,3,Third decil,76944
1989,000,All Denmark,4DC,4,Fourth decil,86129
1989,000,All Denmark,5DC,5,Fifth decil,94551
1989,000,All Denmark,6DC,6,Sixth decil,102742
1989,000,All Denmark,7DC,7,Seventh decil,111503
1989,000,All Denmark,8DC,8,Eigth decil,122016
1989,000,All Denmark,9DC,9,Ninth decil,136968
1989,000,All Denmark,10DC,10,Tenth decil,188967
1990,000,All Denmark,1DC,1,First decil,36480
1990,000,All Denmark,2DC,2,Second decil,68805
1990,000,All Denmark,3DC,3,Third decil,79589
1990,000,All Denmark,4DC,4,Fourth decil,89095
1990,000,All Denmark,5DC,5,Fifth decil,97856
1990,000,All Denmark,6DC,6,Sixth decil,106416
1990,000,All Denmark,7DC,7,Seventh decil,115632
1990,000,All Denmark,8DC,8,Eigth decil,126758
1990,000,All Denmark,9DC,9,Ninth decil,142613
1990,000,All Denmark,10DC,10,Tenth decil,197793
1991,000,All Denmark,1DC,1,First decil,40715
1991,000,All Denmark,2DC,2,Second decil,71733
1991,000,All Denmark,3DC,3,Third decil,82766
1991,000,All Denmark,4DC,4,Fourth decil,92627
1991,000,All Denmark,5DC,5,Fifth decil,101831
1991,000,All Denmark,6DC,6,Sixth decil,110860
1991,000,All Denmark,7DC,7,Seventh decil,120545
1991,000,All Denmark,8DC,8,Eigth decil,132343
1991,000,All Denmark,9DC,9,Ninth decil,149315
1991,000,All Denmark,10DC,10,Tenth decil,207208
1992,000,All Denmark,1DC,1,First decil,40419
1992,000,All Denmark,2DC,2,Second decil,73545
1992,000,All Denmark,3DC,3,Third decil,84853
1992,000,All Denmark,4DC,4,Fourth decil,95242
1992,000,All Denmark,5DC,5,Fifth decil,104950
1992,000,All Denmark,6DC,6,Sixth decil,114337
1992,000,All Denmark,7DC,7,Seventh decil,124351
1992,000,All Denmark,8DC,8,Eigth decil,136487
1992,000,All Denmark,9DC,9,Ninth decil,154050
1992,000,All Denmark,10DC,10,Tenth decil,215250
1993,000,All Denmark,1DC,1,First decil,41712
1993,000,All Denmark,2DC,2,Second decil,75014
1993,000,All Denmark,3DC,3,Third decil,86724
1993,000,All Denmark,4DC,4,Fourth decil,97409
1993,000,All Denmark,5DC,5,Fifth decil,107399
1993,000,All Denmark,6DC,6,Sixth decil,117146
1993,000,All Denmark,7DC,7,Seventh decil,127633
1993,000,All Denmark,8DC,8,Eigth decil,140404
1993,000,All Denmark,9DC,9,Ninth decil,158927
1993,000,All Denmark,10DC,10,Tenth decil,226495
1994,000,All Denmark,1DC,1,First decil,46879
1994,000,All Denmark,2DC,2,Second decil,80425
1994,000,All Denmark,3DC,3,Third decil,92426
1994,000,All Denmark,4DC,4,Fourth decil,103807
1994,000,All Denmark,5DC,5,Fifth decil,114589
1994,000,All Denmark,6DC,6,Sixth decil,125107
1994,000,All Denmark,7DC,7,Seventh decil,136404
1994,000,All Denmark,8DC,8,Eigth decil,150106
1994,000,All Denmark,9DC,9,Ninth decil,170050
1994,000,All Denmark,10DC,10,Tenth decil,240502
1995,000,All Denmark,1DC,1,First decil,53514
1995,000,All Denmark,2DC,2,Second decil,82960
1995,000,All Denmark,3DC,3,Third decil,95451
1995,000,All Denmark,4DC,4,Fourth decil,107413
1995,000,All Denmark,5DC,5,Fifth decil,118698
1995,000,All Denmark,6DC,6,Sixth decil,129625
1995,000,All Denmark,7DC,7,Seventh decil,141465
1995,000,All Denmark,8DC,8,Eigth decil,155894
1995,000,All Denmark,9DC,9,Ninth decil,177024
1995,000,All Denmark,10DC,10,Tenth decil,253941
1996,000,All Denmark,1DC,1,First decil,55847
1996,000,All Denmark,2DC,2,Second decil,84705
1996,000,All Denmark,3DC,3,Third decil,97812
1996,000,All Denmark,4DC,4,Fourth decil,110421
1996,000,All Denmark,5DC,5,Fifth decil,122295
1996,000,All Denmark,6DC,6,Sixth decil,133852
1996,000,All Denmark,7DC,7,Seventh decil,146375
1996,000,All Denmark,8DC,8,Eigth decil,161615
1996,000,All Denmark,9DC,9,Ninth decil,184094
1996,000,All Denmark,10DC,10,Tenth decil,267669
1997,000,All Denmark,1DC,1,First decil,57667
1997,000,All Denmark,2DC,2,Second decil,87108
1997,000,All Denmark,3DC,3,Third decil,100517
1997,000,All Denmark,4DC,4,Fourth decil,113603
1997,000,All Denmark,5DC,5,Fifth decil,125938
1997,000,All Denmark,6DC,6,Sixth decil,137953
1997,000,All Denmark,7DC,7,Seventh decil,151003
1997,000,All Denmark,8DC,8,Eigth decil,166995
1997,000,All Denmark,9DC,9,Ninth decil,190940
1997,000,All Denmark,10DC,10,Tenth decil,286696
1998,000,All Denmark,1DC,1,First decil,58264
1998,000,All Denmark,2DC,2,Second decil,90259
1998,000,All Denmark,3DC,3,Third decil,104389
1998,000,All Denmark,4DC,4,Fourth decil,118179
1998,000,All Denmark,5DC,5,Fifth decil,131121
1998,000,All Denmark,6DC,6,Sixth decil,143745
1998,000,All Denmark,7DC,7,Seventh decil,157495
1998,000,All Denmark,8DC,8,Eigth decil,174482
1998,000,All Denmark,9DC,9,Ninth decil,199838
1998,000,All Denmark,10DC,10,Tenth decil,300898
1999,000,All Denmark,1DC,1,First decil,59027
1999,000,All Denmark,2DC,2,Second decil,92753
1999,000,All Denmark,3DC,3,Third decil,107392
1999,000,All Denmark,4DC,4,Fourth decil,121662
1999,000,All Denmark,5DC,5,Fifth decil,135022
1999,000,All Denmark,6DC,6,Sixth decil,148099
1999,000,All Denmark,7DC,7,Seventh decil,162253
1999,000,All Denmark,8DC,8,Eigth decil,179640
1999,000,All Denmark,9DC,9,Ninth decil,205431
1999,000,All Denmark,10DC,10,Tenth decil,308395
2000,000,All Denmark,1DC,1,First decil,61115
2000,000,All Denmark,2DC,2,Second decil,95540
2000,000,All Denmark,3DC,3,Third decil,110702
2000,000,All Denmark,4DC,4,Fourth decil,125646
2000,000,All Denmark,5DC,5,Fifth decil,139554
2000,000,All Denmark,6DC,6,Sixth decil,153127
2000,000,All Denmark,7DC,7,Seventh decil,167920
2000,000,All Denmark,8DC,8,Eigth decil,186069
2000,000,All Denmark,9DC,9,Ninth decil,213081
2000,000,All Denmark,10DC,10,Tenth decil,329207
2001,000,All Denmark,1DC,1,First decil,62629
2001,000,All Denmark,2DC,2,Second decil,98552
2001,000,All Denmark,3DC,3,Third decil,114430
2001,000,All Denmark,4DC,4,Fourth decil,129885
2001,000,All Denmark,5DC,5,Fifth decil,144273
2001,000,All Denmark,6DC,6,Sixth decil,158392
2001,000,All Denmark,7DC,7,Seventh decil,173884
2001,000,All Denmark,8DC,8,Eigth decil,193021
2001,000,All Denmark,9DC,9,Ninth decil,221638
2001,000,All Denmark,10DC,10,Tenth decil,338942
2002,000,All Denmark,1DC,1,First decil,65028
2002,000,All Denmark,2DC,2,Second decil,103999
2002,000,All Denmark,3DC,3,Third decil,120236
2002,000,All Denmark,4DC,4,Fourth decil,135871
2002,000,All Denmark,5DC,5,Fifth decil,150513
2002,000,All Denmark,6DC,6,Sixth decil,165005
2002,000,All Denmark,7DC,7,Seventh decil,181053
2002,000,All Denmark,8DC,8,Eigth decil,200865
2002,000,All Denmark,9DC,9,Ninth decil,230367
2002,000,All Denmark,10DC,10,Tenth decil,347627
2003,000,All Denmark,1DC,1,First decil,64971
2003,000,All Denmark,2DC,2,Second decil,107121
2003,000,All Denmark,3DC,3,Third decil,123723
2003,000,All Denmark,4DC,4,Fourth decil,139750
2003,000,All Denmark,5DC,5,Fifth decil,154880
2003,000,All Denmark,6DC,6,Sixth decil,169917
2003,000,All Denmark,7DC,7,Seventh decil,186526
2003,000,All Denmark,8DC,8,Eigth decil,207108
2003,000,All Denmark,9DC,9,Ninth decil,237604
2003,000,All Denmark,10DC,10,Tenth decil,356782
2004,000,All Denmark,1DC,1,First decil,68760
2004,000,All Denmark,2DC,2,Second decil,111091
2004,000,All Denmark,3DC,3,Third decil,128763
2004,000,All Denmark,4DC,4,Fourth decil,146523
2004,000,All Denmark,5DC,5,Fifth decil,163447
2004,000,All Denmark,6DC,6,Sixth decil,180018
2004,000,All Denmark,7DC,7,Seventh decil,197955
2004,000,All Denmark,8DC,8,Eigth decil,219993
2004,000,All Denmark,9DC,9,Ninth decil,252665
2004,000,All Denmark,10DC,10,Tenth decil,383943
2005,000,All Denmark,1DC,1,First decil,68868
2005,000,All Denmark,2DC,2,Second decil,114266
2005,000,All Denmark,3DC,3,Third decil,132607
2005,000,All Denmark,4DC,4,Fourth decil,150805
2005,000,All Denmark,5DC,5,Fifth decil,168260
2005,000,All Denmark,6DC,6,Sixth decil,185548
2005,000,All Denmark,7DC,7,Seventh decil,204440
2005,000,All Denmark,8DC,8,Eigth decil,227752
2005,000,All Denmark,9DC,9,Ninth decil,262588
2005,000,All Denmark,10DC,10,Tenth decil,416199
2006,000,All Denmark,1DC,1,First decil,71062
2006,000,All Denmark,2DC,2,Second decil,118226
2006,000,All Denmark,3DC,3,Third decil,137056
2006,000,All Denmark,4DC,4,Fourth decil,155709
2006,000,All Denmark,5DC,5,Fifth decil,173475
2006,000,All Denmark,6DC,6,Sixth decil,191175
2006,000,All Denmark,7DC,7,Seventh decil,210551
2006,000,All Denmark,8DC,8,Eigth decil,234736
2006,000,All Denmark,9DC,9,Ninth decil,270978
2006,000,All Denmark,10DC,10,Tenth decil,447312
2007,000,All Denmark,1DC,1,First decil,64729
2007,000,All Denmark,2DC,2,Second decil,121499
2007,000,All Denmark,3DC,3,Third decil,140882
2007,000,All Denmark,4DC,4,Fourth decil,159688
2007,000,All Denmark,5DC,5,Fifth decil,177868
2007,000,All Denmark,6DC,6,Sixth decil,196045
2007,000,All Denmark,7DC,7,Seventh decil,215945
2007,000,All Denmark,8DC,8,Eigth decil,240638
2007,000,All Denmark,9DC,9,Ninth decil,277551
2007,000,All Denmark,10DC,10,Tenth decil,466484
