Year,BOL101OwnerOccupiedDwellings,BOLRDOwnerOccupiedDwellings,OwnerOccupiedDwellingsDiff,BOL101TenantOccupiedDwellings,BOLRDTenantOccupiedDwellings,TenantOccupiedDwellingsDiff,BOL101KnownTenureDwellings,BOLRDKnownTenureDwellings,KnownTenureDwellingsDiff,BOL101OwnerShare,BOLRDOwnerShare,OwnerShareDiffPp,BOLRDNotStatedDwellings,Status
2010,1294564,1294564.0,0.0,1171918,1171918.0,0.0,2466482,2466482.0,0.0,52.48625370061488,52.48625370061488,0.0,92019.0,ok
2011,1317333,1317333.0,0.0,1233654,1233654.0,0.0,2550987,2550987.0,0.0,51.64012987914089,51.64012987914089,0.0,22149.0,ok
2012,1315252,1315252.0,0.0,1246625,1246625.0,0.0,2561877,2561877.0,0.0,51.33938904951331,51.33938904951331,0.0,21496.0,ok
2013,1312508,1312508.0,0.0,1264476,1264476.0,0.0,2576984,2576984.0,0.0,50.93194214632298,50.93194214632298,0.0,20984.0,ok
2014,1309409,1309409.0,0.0,1283007,1283007.0,0.0,2592416,2592416.0,0.0,50.509216113463275,50.509216113463275,0.0,19633.0,ok
2015,1308023,1308023.0,0.0,1302233,1302233.0,0.0,2610256,2610256.0,0.0,50.1109086618324,50.1109086618324,0.0,18082.0,ok
2016,1311101,1311101.0,0.0,1318053,1318053.0,0.0,2629154,2629154.0,0.0,49.867790171287034,49.867790171287034,0.0,17090.0,ok
2017,1314900,1314900.0,0.0,1332743,1332743.0,0.0,2647643,2647643.0,0.0,49.663039918901454,49.663039918901454,0.0,14952.0,ok
2018,1319878,1319878.0,0.0,1351145,1351145.0,0.0,2671023,2671023.0,0.0,49.414699910858126,49.414699910858126,0.0,8089.0,ok
2019,1324597,1324597.0,0.0,1363063,1363063.0,0.0,2687660,2687660.0,0.0,49.284396091767555,49.284396091767555,0.0,9822.0,ok
2020,1326304,1326304.0,0.0,1380100,1380100.0,0.0,2706404,2706404.0,0.0,49.0061350781332,49.0061350781332,0.0,13543.0,ok
2023,1338703,1338703.0,0.0,1442611,1442611.0,0.0,2781314,2781314.0,0.0,48.13203399544244,48.13203399544244,0.0,24977.0,ok
2024,1342874,1342874.0,0.0,1457415,1457415.0,0.0,2800289,2800289.0,0.0,47.954836090132126,47.954836090132126,0.0,27207.0,ok
2025,1345197,1345197.0,0.0,1481751,1481751.0,0.0,2826948,2826948.0,0.0,47.58478047703743,47.58478047703743,0.0,25052.0,ok
2026,1355272,1355272.0,0.0,1496878,1496878.0,0.0,2852150,2852150.0,0.0,47.51755693073646,47.51755693073646,0.0,20588.0,ok
