Year,MunicipalityCode,Municipality,Gini,P90P10,S80S20,Poverty50,Poverty60,UnemploymentRate,TertiaryShare,LifeExpectancy,OwnerOccupiedDwellings,TenantOccupiedDwellings,KnownTenureDwellings,OwnerShare,TenantShare,Hoover
1987,000,All Denmark,22.07,2.5,3.24,,,,,,,,,,,15.0
1988,000,All Denmark,22.06,2.49,3.24,,,,,,,,,,,14.99
1989,000,All Denmark,21.93,2.46,3.2,,,,,,,,,,,14.89
1990,000,All Denmark,22.16,2.49,3.23,,,,,,,,,,,15.04
1991,000,All Denmark,21.99,2.5,3.17,,,,,,,,,,,15.0
1992,000,All Denmark,22.34,2.51,3.24,,,,,,,,,,,15.21
1993,000,All Denmark,22.79,2.55,3.3,,,,,,,,,,,15.51
1994,000,All Denmark,22.5,2.53,3.22,,,,,,,,,,,15.38
1995,000,All Denmark,22.41,2.54,3.16,,,,,,,,,,,15.39
1996,000,All Denmark,22.83,2.6,3.21,,,,,,,,,,,15.71
1997,000,All Denmark,23.47,2.62,3.3,,,,,,,,,,,16.11
1998,000,All Denmark,23.81,2.66,3.37,,,,,,,,,,,16.33
1999,000,All Denmark,23.83,2.66,3.39,,,,,,,,,,,16.33
2000,000,All Denmark,24.38,2.68,3.46,5.2,10.3,,,,,,,,,16.66
2001,000,All Denmark,24.4,2.71,3.48,5.4,10.6,,,,,,,,,16.71
2002,000,All Denmark,24.03,2.67,3.42,5.2,10.0,,,,,,,,,16.46
2003,000,All Denmark,24.14,2.67,3.45,5.3,10.0,,,,,,,,,16.53
2004,000,All Denmark,24.68,2.75,3.54,5.7,10.9,,,77.1,,,,,,16.92
2005,000,All Denmark,25.66,2.8,3.71,6.0,11.1,,,77.3,,,,,,17.53
2006,000,All Denmark,26.28,2.78,3.79,5.9,10.8,,,77.6,,,,,,17.88
2007,000,All Denmark,27.02,2.78,4.0,6.0,10.8,3.6166666666666667,,77.8,,,,,,18.25
2008,000,All Denmark,27.94,2.82,4.64,6.7,11.5,2.65,25.250183995550806,78.1,,,,,,18.58
2009,000,All Denmark,26.74,2.83,4.27,7.0,11.7,4.791666666666667,25.84822581524272,78.3,,,,,,18.01
2010,000,All Denmark,27.47,2.96,4.26,7.2,12.0,6.083333333333333,26.46949753433041,78.6,1294564.0,1171918.0,2466482.0,52.48625370061488,47.51374629938512,18.66
2011,000,All Denmark,27.68,3.0,4.28,7.3,12.2,5.95,27.095226299121784,78.8,1317333.0,1233654.0,2550987.0,51.64012987914089,48.35987012085911,18.82
2012,000,All Denmark,27.37,2.99,4.11,7.0,12.0,6.058333333333334,27.73454904607351,79.1,1315252.0,1246625.0,2561877.0,51.33938904951331,48.66061095048669,18.72
2013,000,All Denmark,27.88,3.07,4.19,7.3,12.4,5.758333333333333,28.521487163568032,79.4,1312508.0,1264476.0,2576984.0,50.93194214632298,49.06805785367701,19.12
2014,000,All Denmark,28.33,3.12,4.36,7.6,12.8,5.008333333333334,29.4402811258938,79.8,1309409.0,1283007.0,2592416.0,50.509216113463275,49.490783886536725,19.37
2015,000,All Denmark,28.77,3.17,4.37,7.7,13.1,4.566666666666666,30.48504049868906,80.1,1308023.0,1302233.0,2610256.0,50.1109086618324,49.889091338167596,19.71
2016,000,All Denmark,28.97,3.24,4.46,8.3,13.6,4.133333333333334,31.63755295330525,80.4,1311101.0,1318053.0,2629154.0,49.867790171287034,50.13220982871296,19.85
2017,000,All Denmark,29.32,3.33,4.54,8.8,14.1,4.191666666666666,32.41106062354011,80.6,1314900.0,1332743.0,2647643.0,49.663039918901454,50.336960081098546,20.1
2018,000,All Denmark,29.1,3.31,4.51,8.7,14.0,3.85,33.195411183660426,80.8,1319878.0,1351145.0,2671023.0,49.414699910858126,50.585300089141874,19.96
2019,000,All Denmark,29.55,3.3,4.55,8.6,13.8,3.658333333333333,34.0091806589827,80.9,1324597.0,1363063.0,2687660.0,49.284396091767555,50.715603908232445,20.24
2020,000,All Denmark,29.72,3.34,4.58,8.7,14.2,4.591666666666667,34.610491190404765,81.1,1326304.0,1380100.0,2706404.0,49.0061350781332,50.9938649218668,20.41
2021,000,All Denmark,30.28,3.33,4.64,8.4,14.2,3.6166666666666667,35.35550485328077,81.3,,,,,,20.79
2022,000,All Denmark,29.96,3.24,4.65,8.1,13.7,2.525,36.31767106300771,81.3,,,,,,20.44
2023,000,All Denmark,30.61,3.25,4.71,8.0,13.3,2.775,37.11658014032887,81.4,1338703.0,1442611.0,2781314.0,48.13203399544244,51.86796600455755,20.9
2024,000,All Denmark,30.43,3.24,4.65,7.8,13.3,2.891666666666667,37.88401519752874,81.5,1342874.0,1457415.0,2800289.0,47.954836090132126,52.045163909867874,20.81
1987,101,Copenhagen,23.05,2.65,3.36,,,,,,,,,,,16.16
1988,101,Copenhagen,23.09,2.65,3.38,,,,,,,,,,,16.2
1989,101,Copenhagen,23.06,2.69,3.4,,,,,,,,,,,16.11
1990,101,Copenhagen,23.44,2.74,3.47,,,,,,,,,,,16.34
1991,101,Copenhagen,23.23,2.74,3.4,,,,,,,,,,,16.18
1992,101,Copenhagen,23.49,2.76,3.45,,,,,,,,,,,16.37
1993,101,Copenhagen,23.74,2.82,3.48,,,,,,,,,,,16.56
1994,101,Copenhagen,23.34,2.77,3.36,,,,,,,,,,,16.34
1995,101,Copenhagen,23.87,2.76,3.44,,,,,,,,,,,16.7
1996,101,Copenhagen,24.1,2.81,3.45,,,,,,,,,,,16.97
1997,101,Copenhagen,24.76,2.88,3.58,,,,,,,,,,,17.35
1998,101,Copenhagen,24.99,2.94,3.61,,,,,,,,,,,17.55
1999,101,Copenhagen,25.48,3.0,3.73,,,,,,,,,,,17.89
2000,101,Copenhagen,26.48,3.1,3.93,11.1,20.4,,,,,,,,,18.54
2001,101,Copenhagen,26.53,3.15,3.96,11.4,20.8,,,,,,,,,18.62
2002,101,Copenhagen,26.63,3.14,3.98,11.2,20.1,,,,,,,,,18.63
2003,101,Copenhagen,26.91,3.21,4.06,11.4,20.1,,,,,,,,,18.84
2004,101,Copenhagen,27.73,3.37,4.25,12.7,22.2,,,74.7,,,,,,19.5
2005,101,Copenhagen,28.47,3.46,4.44,13.0,22.3,,,74.9,,,,,,19.96
2006,101,Copenhagen,28.79,3.44,4.5,12.8,21.6,,,75.0,,,,,,20.07
2007,101,Copenhagen,29.14,3.5,4.73,12.9,21.5,5.891666666666667,,75.3,,,,,,20.18
2008,101,Copenhagen,29.6,3.6,5.1,13.5,21.8,4.508333333333334,36.007910651483,75.6,,,,,,20.44
2009,101,Copenhagen,29.38,3.71,5.04,13.9,22.0,6.3500000000000005,37.15867905167434,75.9,,,,,,20.42
2010,101,Copenhagen,31.44,3.98,5.65,15.1,23.5,7.633333333333333,38.291441487575355,76.1,49023.0,221897.0,270920.0,18.095009596928982,81.90499040307103,21.8
2011,101,Copenhagen,31.38,4.01,5.45,15.3,23.8,7.533333333333334,39.56430110139672,76.5,48690.0,229659.0,278349.0,17.49242856988888,82.50757143011111,21.87
2012,101,Copenhagen,31.25,4.01,5.32,15.1,23.7,7.625,40.887876749594234,76.9,48573.0,231693.0,280266.0,17.331035516259554,82.66896448374045,21.83
2013,101,Copenhagen,31.86,4.12,5.49,15.5,24.1,7.3500000000000005,42.507240604092544,77.2,48835.0,233323.0,282158.0,17.307678676486223,82.69232132351377,22.27
2014,101,Copenhagen,32.13,4.15,5.56,15.6,24.3,6.358333333333333,44.379990626685654,77.6,49148.0,235206.0,284354.0,17.284089550349215,82.71591044965079,22.46
2015,101,Copenhagen,32.7,4.16,5.68,15.4,24.1,5.583333333333333,46.4023545932175,78.0,50047.0,236753.0,286800.0,17.450139470013948,82.54986052998605,22.78
2016,101,Copenhagen,33.24,4.26,5.93,15.6,24.2,5.041666666666667,48.78029003320274,78.3,52081.0,237560.0,289641.0,17.981225033748675,82.01877496625133,23.12
