OMRÅDE;ALDER;KØN;TID;INDHOLD
000 All Denmark;TOT Age, total;TOT Total;2008M09 2008M09;2.4
101 Copenhagen;TOT Age, total;TOT Total;2008M09 2008M09;4.3
147 Frederiksberg;TOT Age, total;TOT Total;2008M09 2008M09;2.8
151 Ballerup;TOT Age, total;TOT Total;2008M09 2008M09;1.8
153 Brøndby;TOT Age, total;TOT Total;2008M09 2008M09;2.4
155 Dragør;TOT Age, total;TOT Total;2008M09 2008M09;1.4
157 Gentofte;TOT Age, total;TOT Total;2008M09 2008M09;1.6
159 Gladsaxe;TOT Age, total;TOT Total;2008M09 2008M09;2.1
161 Glostrup;TOT Age, total;TOT Total;2008M09 2008M09;2.0
163 Herlev;TOT Age, total;TOT Total;2008M09 2008M09;2.4
165 Albertslund;TOT Age, total;TOT Total;2008M09 2008M09;3.4
167 Hvidovre;TOT Age, total;TOT Total;2008M09 2008M09;2.0
169 Høje-Taastrup;TOT Age, total;TOT Total;2008M09 2008M09;2.8
173 Lyngby-Taarbæk;TOT Age, total;TOT Total;2008M09 2008M09;1.4
175 Rødovre;TOT Age, total;TOT Total;2008M09 2008M09;2.0
183 Ishøj;TOT Age, total;TOT Total;2008M09 2008M09;4.4
185 Tårnby;TOT Age, total;TOT Total;2008M09 2008M09;2.6
187 Vallensbæk;TOT Age, total;TOT Total;2008M09 2008M09;1.8
190 Furesø;TOT Age, total;TOT Total;2008M09 2008M09;1.8
201 Allerød;TOT Age, total;TOT Total;2008M09 2008M09;0.9
210 Fredensborg;TOT Age, total;TOT Total;2008M09 2008M09;1.7
217 Helsingør;TOT Age, total;TOT Total;2008M09 2008M09;2.4
219 Hillerød;TOT Age, total;TOT Total;2008M09 2008M09;1.3
223 Hørsholm;TOT Age, total;TOT Total;2008M09 2008M09;1.3
230 Rudersdal;TOT Age, total;TOT Total;2008M09 2008M09;1.1
240 Egedal;TOT Age, total;TOT Total;2008M09 2008M09;1.0
250 Frederikssund;TOT Age, total;TOT Total;2008M09 2008M09;1.6
253 Greve;TOT Age, total;TOT Total;2008M09 2008M09;1.6
259 Køge;TOT Age, total;TOT Total;2008M09 2008M09;2.4
260 Halsnæs;TOT Age, total;TOT Total;2008M09 2008M09;2.2
265 Roskilde;TOT Age, total;TOT Total;2008M09 2008M09;1.4
269 Solrød;TOT Age, total;TOT Total;2008M09 2008M09;1.8
270 Gribskov;TOT Age, total;TOT Total;2008M09 2008M09;1.6
306 Odsherred;TOT Age, total;TOT Total;2008M09 2008M09;2.2
316 Holbæk;TOT Age, total;TOT Total;2008M09 2008M09;2.1
320 Faxe;TOT Age, total;TOT Total;2008M09 2008M09;2.1
326 Kalundborg;TOT Age, total;TOT Total;2008M09 2008M09;1.9
329 Ringsted;TOT Age, total;TOT Total;2008M09 2008M09;2.0
330 Slagelse;TOT Age, total;TOT Total;2008M09 2008M09;3.0
336 Stevns;TOT Age, total;TOT Total;2008M09 2008M09;2.0
340 Sorø;TOT Age, total;TOT Total;2008M09 2008M09;2.1
350 Lejre;TOT Age, total;TOT Total;2008M09 2008M09;1.4
360 Lolland;TOT Age, total;TOT Total;2008M09 2008M09;3.6
370 Næstved;TOT Age, total;TOT Total;2008M09 2008M09;2.6
376 Guldborgsund;TOT Age, total;TOT Total;2008M09 2008M09;2.6
390 Vordingborg;TOT Age, total;TOT Total;2008M09 2008M09;3.0
400 Bornholm;TOT Age, total;TOT Total;2008M09 2008M09;4.5
410 Middelfart;TOT Age, total;TOT Total;2008M09 2008M09;1.5
420 Assens;TOT Age, total;TOT Total;2008M09 2008M09;2.5
430 Faaborg-Midtfyn;TOT Age, total;TOT Total;2008M09 2008M09;2.3
440 Kerteminde;TOT Age, total;TOT Total;2008M09 2008M09;2.6
450 Nyborg;TOT Age, total;TOT Total;2008M09 2008M09;2.2
461 Odense;TOT Age, total;TOT Total;2008M09 2008M09;3.5
479 Svendborg;TOT Age, total;TOT Total;2008M09 2008M09;2.6
480 Nordfyns;TOT Age, total;TOT Total;2008M09 2008M09;2.6
482 Langeland;TOT Age, total;TOT Total;2008M09 2008M09;2.6
492 Ærø;TOT Age, total;TOT Total;2008M09 2008M09;2.1
510 Haderslev;TOT Age, total;TOT Total;2008M09 2008M09;1.9
530 Billund;TOT Age, total;TOT Total;2008M09 2008M09;1.1
540 Sønderborg;TOT Age, total;TOT Total;2008M09 2008M09;2.0
550 Tønder;TOT Age, total;TOT Total;2008M09 2008M09;1.9
561 Esbjerg;TOT Age, total;TOT Total;2008M09 2008M09;1.7
563 Fanø;TOT Age, total;TOT Total;2008M09 2008M09;1.4
573 Varde;TOT Age, total;TOT Total;2008M09 2008M09;1.1
575 Vejen;TOT Age, total;TOT Total;2008M09 2008M09;1.0
580 Aabenraa;TOT Age, total;TOT Total;2008M09 2008M09;2.5
607 Fredericia;TOT Age, total;TOT Total;2008M09 2008M09;2.4
615 Horsens;TOT Age, total;TOT Total;2008M09 2008M09;1.9
621 Kolding;TOT Age, total;TOT Total;2008M09 2008M09;1.7
630 Vejle;TOT Age, total;TOT Total;2008M09 2008M09;1.4
657 Herning;TOT Age, total;TOT Total;2008M09 2008M09;1.4
661 Holstebro;TOT Age, total;TOT Total;2008M09 2008M09;1.6
665 Lemvig;TOT Age, total;TOT Total;2008M09 2008M09;1.7
440 Kerteminde;TOT Age, total;TOT Total;2023M05 2023M05;2.6
450 Nyborg;TOT Age, total;TOT Total;2023M05 2023M05;3.0
461 Odense;TOT Age, total;TOT Total;2023M05 2023M05;3.4
479 Svendborg;TOT Age, total;TOT Total;2023M05 2023M05;3.0
480 Nordfyns;TOT Age, total;TOT Total;2023M05 2023M05;2.5
482 Langeland;TOT Age, total;TOT Total;2023M05 2023M05;2.9
492 Ærø;TOT Age, total;TOT Total;2023M05 2023M05;1.9
510 Haderslev;TOT Age, total;TOT Total;2023M05 2023M05;2.6
530 Billund;TOT Age, total;TOT Total;2023M05 2023M05;1.5
540 Sønderborg;TOT Age, total;TOT Total;2023M05 2023M05;2.6
550 Tønder;TOT Age, total;TOT Total;2023M05 2023M05;2.0
561 Esbjerg;TOT Age, total;TOT Total;2023M05 2023M05;2.3
563 Fanø;TOT Age, total;TOT Total;2023M05 2023M05;2.7
573 Varde;TOT Age, total;TOT Total;2023M05 2023M05;1.7
575 Vejen;TOT Age, total;TOT Total;2023M05 2023M05;1.8
580 Aabenraa;TOT Age, total;TOT Total;2023M05 2023M05;2.3
607 Fredericia;TOT Age, total;TOT Total;2023M05 2023M05;2.9
615 Horsens;TOT Age, total;TOT Total;2023M05 2023M05;2.6
621 Kolding;TOT Age, total;TOT Total;2023M05 2023M05;2.5
630 Vejle;TOT Age, total;TOT Total;2023M05 2023M05;2.3
657 Herning;TOT Age, total;TOT Total;2023M05 2023M05;2.1
661 Holstebro;TOT Age, total;TOT Total;2023M05 2023M05;1.7
665 Lemvig;TOT Age, total;TOT Total;2023M05 2023M05;2.1
147 Frederiksberg;TOT Age, total;TOT Total;2010M07 2010M07;5.4
151 Ballerup;TOT Age, total;TOT Total;2010M07 2010M07;3.9
153 Brøndby;TOT Age, total;TOT Total;2010M07 2010M07;5.7
155 Dragør;TOT Age, total;TOT Total;2010M07 2010M07;3.3
157 Gentofte;TOT Age, total;TOT Total;2010M07 2010M07;3.2
159 Gladsaxe;TOT Age, total;TOT Total;2010M07 2010M07;4.9
161 Glostrup;TOT Age, total;TOT Total;2010M07 2010M07;6.0
163 Herlev;TOT Age, total;TOT Total;2010M07 2010M07;5.3
165 Albertslund;TOT Age, total;TOT Total;2010M07 2010M07;6.3
167 Hvidovre;TOT Age, total;TOT Total;2010M07 2010M07;4.7
169 Høje-Taastrup;TOT Age, total;TOT Total;2010M07 2010M07;6.1
173 Lyngby-Taarbæk;TOT Age, total;TOT Total;2010M07 2010M07;3.3
175 Rødovre;TOT Age, total;TOT Total;2010M07 2010M07;4.8
183 Ishøj;TOT Age, total;TOT Total;2010M07 2010M07;8.1
185 Tårnby;TOT Age, total;TOT Total;2010M07 2010M07;5.5
187 Vallensbæk;TOT Age, total;TOT Total;2010M07 2010M07;4.1
190 Furesø;TOT Age, total;TOT Total;2010M07 2010M07;3.7
201 Allerød;TOT Age, total;TOT Total;2010M07 2010M07;2.5
210 Fredensborg;TOT Age, total;TOT Total;2010M07 2010M07;3.9
217 Helsingør;TOT Age, total;TOT Total;2010M07 2010M07;4.6
219 Hillerød;TOT Age, total;TOT Total;2010M07 2010M07;4.1
223 Hørsholm;TOT Age, total;TOT Total;2010M07 2010M07;2.9
710 Favrskov;TOT Age, total;TOT Total;2013M02 2013M02;5.1
727 Odder;TOT Age, total;TOT Total;2013M02 2013M02;5.3
730 Randers;TOT Age, total;TOT Total;2013M02 2013M02;6.7
740 Silkeborg;TOT Age, total;TOT Total;2013M02 2013M02;5.9
741 Samsø;TOT Age, total;TOT Total;2013M02 2013M02;8.5
