UDLFORH;TID;INDHOLD
EJ Occupied by the owner;1930 1930;105098
LEJ Occupied by the tenant;1930 1930;375498
UOPL Not stated;1930 1930;..
EJ Occupied by the owner;1935 1935;124742
LEJ Occupied by the tenant;1935 1935;437580
UOPL Not stated;1935 1935;..
EJ Occupied by the owner;1940 1940;139392
LEJ Occupied by the tenant;1940 1940;502344
UOPL Not stated;1940 1940;..
EJ Occupied by the owner;1945 1945;153093
LEJ Occupied by the tenant;1945 1945;554443
UOPL Not stated;1945 1945;..
EJ Occupied by the owner;1950 1950;182075
LEJ Occupied by the tenant;1950 1950;607895
UOPL Not stated;1950 1950;..
EJ Occupied by the owner;1955 1955;618960
LEJ Occupied by the tenant;1955 1955;755570
UOPL Not stated;1955 1955;..
EJ Occupied by the owner;1960 1960;667840
LEJ Occupied by the tenant;1960 1960;794770
UOPL Not stated;1960 1960;..
EJ Occupied by the owner;1965 1965;737780
LEJ Occupied by the tenant;1965 1965;840620
UOPL Not stated;1965 1965;..
EJ Occupied by the owner;1970 1970;846159
LEJ Occupied by the tenant;1970 1970;896615
UOPL Not stated;1970 1970;..
EJ Occupied by the owner;1977 1977;91059
LEJ Occupied by the tenant;1977 1977;743504
UOPL Not stated;1977 1977;26904
EJ Occupied by the owner;1980 1980;1094489
LEJ Occupied by the tenant;1980 1980;886580
UOPL Not stated;1980 1980;29063
EJ Occupied by the owner;1981 1981;1115181
LEJ Occupied by the tenant;1981 1981;897308
UOPL Not stated;1981 1981;27218
EJ Occupied by the owner;1982 1982;1127095
LEJ Occupied by the tenant;1982 1982;903452
UOPL Not stated;1982 1982;32714
EJ Occupied by the owner;1983 1983;1145365
LEJ Occupied by the tenant;1983 1983;919525
UOPL Not stated;1983 1983;27911
EJ Occupied by the owner;1984 1984;1161495
LEJ Occupied by the tenant;1984 1984;922699
UOPL Not stated;1984 1984;30353
EJ Occupied by the owner;1985 1985;1175602
LEJ Occupied by the tenant;1985 1985;924095
UOPL Not stated;1985 1985;34821
EJ Occupied by the owner;1986 1986;1192120
LEJ Occupied by the tenant;1986 1986;943899
UOPL Not stated;1986 1986;25914
EJ Occupied by the owner;1987 1987;1205336
LEJ Occupied by the tenant;1987 1987;948492
UOPL Not stated;1987 1987;28900
EJ Occupied by the owner;1988 1988;1214418
LEJ Occupied by the tenant;1988 1988;963410
UOPL Not stated;1988 1988;26667
EJ Occupied by the owner;1989 1989;1218479
LEJ Occupied by the tenant;1989 1989;975288
UOPL Not stated;1989 1989;28450
EJ Occupied by the owner;1990 1990;1216544
LEJ Occupied by the tenant;1990 1990;992014
UOPL Not stated;1990 1990;37041
EJ Occupied by the owner;1991 1991;1215874
LEJ Occupied by the tenant;1991 1991;1013471
UOPL Not stated;1991 1991;40236
EJ Occupied by the owner;1992 1992;1221773
LEJ Occupied by the tenant;1992 1992;1031393
UOPL Not stated;1992 1992;37451
EJ Occupied by the owner;1993 1993;1207282
LEJ Occupied by the tenant;1993 1993;1053954
UOPL Not stated;1993 1993;45980
EJ Occupied by the owner;1994 1994;1212545
LEJ Occupied by the tenant;1994 1994;1067028
UOPL Not stated;1994 1994;42752
EJ Occupied by the owner;1995 1995;1219710
LEJ Occupied by the tenant;1995 1995;1063711
UOPL Not stated;1995 1995;56668
EJ Occupied by the owner;1996 1996;1227059
LEJ Occupied by the tenant;1996 1996;1072404
UOPL Not stated;1996 1996;58682
EJ Occupied by the owner;1997 1997;1234257
LEJ Occupied by the tenant;1997 1997;1074399
UOPL Not stated;1997 1997;64372
EJ Occupied by the owner;1998 1998;1267289
LEJ Occupied by the tenant;1998 1998;1111784
UOPL Not stated;1998 1998;9106
EJ Occupied by the owner;1999 1999;1279616
LEJ Occupied by the tenant;1999 1999;1115307
UOPL Not stated;1999 1999;8962
EJ Occupied by the owner;2000 2000;1286083
LEJ Occupied by the tenant;2000 2000;1119585
UOPL Not stated;2000 2000;8845
EJ Occupied by the owner;2001 2001;1290010
LEJ Occupied by the tenant;2001 2001;1127438
UOPL Not stated;2001 2001;8137
EJ Occupied by the owner;2002 2002;1290967
LEJ Occupied by the tenant;2002 2002;1137126
UOPL Not stated;2002 2002;8248
EJ Occupied by the owner;2003 2003;1292283
LEJ Occupied by the tenant;2003 2003;1147643
UOPL Not stated;2003 2003;8169
EJ Occupied by the owner;2004 2004;1295065
LEJ Occupied by the tenant;2004 2004;1153938
UOPL Not stated;2004 2004;11752
EJ Occupied by the owner;2005 2005;1281183
LEJ Occupied by the tenant;2005 2005;1139101
UOPL Not stated;2005 2005;67626
EJ Occupied by the owner;2006 2006;1284179
LEJ Occupied by the tenant;2006 2006;1159681
UOPL Not stated;2006 2006;60114
EJ Occupied by the owner;2007 2007;1279944
LEJ Occupied by the tenant;2007 2007;1163301
UOPL Not stated;2007 2007;73614
EJ Occupied by the owner;2008 2008;1301902
LEJ Occupied by the tenant;2008 2008;1193589
UOPL Not stated;2008 2008;35003
EJ Occupied by the owner;2009 2009;1308134
