BOPOMR;HERKOMST;HFUDD;ALDER;KØN;TID;INDHOLD
000 All Denmark;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;160337
000 All Denmark;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;498043
000 All Denmark;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;67699
000 All Denmark;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;244124
000 All Denmark;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;15470
000 All Denmark;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;3903627
101 Copenhagen;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;15604
101 Copenhagen;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;50114
101 Copenhagen;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;23457
101 Copenhagen;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;52215
101 Copenhagen;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;3176
101 Copenhagen;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;401484
147 Frederiksberg;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;2975
147 Frederiksberg;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;10197
147 Frederiksberg;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;4011
147 Frederiksberg;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;12851
147 Frederiksberg;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;819
147 Frederiksberg;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;70387
151 Ballerup;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;1330
