OMRÅDE;KØN;TID;INDHOLD
000 All Denmark;TOT Total;2014:2018 2014:2018;80.8
101 Copenhagen;TOT Total;2014:2018 2014:2018;79.0
147 Frederiksberg;TOT Total;2014:2018 2014:2018;81.1
151 Ballerup;TOT Total;2014:2018 2014:2018;80.3
153 Brøndby;TOT Total;2014:2018 2014:2018;79.6
155 Dragør;TOT Total;2014:2018 2014:2018;81.6
157 Gentofte;TOT Total;2014:2018 2014:2018;83.4
159 Gladsaxe;TOT Total;2014:2018 2014:2018;80.4
161 Glostrup;TOT Total;2014:2018 2014:2018;80.3
163 Herlev;TOT Total;2014:2018 2014:2018;79.9
165 Albertslund;TOT Total;2014:2018 2014:2018;81.1
167 Hvidovre;TOT Total;2014:2018 2014:2018;80.4
169 Høje-Taastrup;TOT Total;2014:2018 2014:2018;80.5
173 Lyngby-Taarbæk;TOT Total;2014:2018 2014:2018;82.4
175 Rødovre;TOT Total;2014:2018 2014:2018;80.3
183 Ishøj;TOT Total;2014:2018 2014:2018;80.0
185 Tårnby;TOT Total;2014:2018 2014:2018;80.1
187 Vallensbæk;TOT Total;2014:2018 2014:2018;81.6
190 Furesø;TOT Total;2014:2018 2014:2018;82.7
201 Allerød;TOT Total;2014:2018 2014:2018;83.1
210 Fredensborg;TOT Total;2014:2018 2014:2018;81.7
217 Helsingør;TOT Total;2014:2018 2014:2018;81.0
219 Hillerød;TOT Total;2014:2018 2014:2018;81.7
223 Hørsholm;TOT Total;2014:2018 2014:2018;83.2
230 Rudersdal;TOT Total;2014:2018 2014:2018;83.2
240 Egedal;TOT Total;2014:2018 2014:2018;81.9
250 Frederikssund;TOT Total;2014:2018 2014:2018;80.3
253 Greve;TOT Total;2014:2018 2014:2018;81.1
259 Køge;TOT Total;2014:2018 2014:2018;80.7
260 Halsnæs;TOT Total;2014:2018 2014:2018;79.2
265 Roskilde;TOT Total;2014:2018 2014:2018;81.1
269 Solrød;TOT Total;2014:2018 2014:2018;82.3
270 Gribskov;TOT Total;2014:2018 2014:2018;80.8
306 Odsherred;TOT Total;2014:2018 2014:2018;79.8
316 Holbæk;TOT Total;2014:2018 2014:2018;80.5
320 Faxe;TOT Total;2014:2018 2014:2018;80.0
326 Kalundborg;TOT Total;2014:2018 2014:2018;80.2
329 Ringsted;TOT Total;2014:2018 2014:2018;80.3
330 Slagelse;TOT Total;2014:2018 2014:2018;79.5
336 Stevns;TOT Total;2014:2018 2014:2018;80.7
340 Sorø;TOT Total;2014:2018 2014:2018;79.6
350 Lejre;TOT Total;2014:2018 2014:2018;82.3
360 Lolland;TOT Total;2014:2018 2014:2018;77.7
370 Næstved;TOT Total;2014:2018 2014:2018;79.9
376 Guldborgsund;TOT Total;2014:2018 2014:2018;79.0
390 Vordingborg;TOT Total;2014:2018 2014:2018;78.7
400 Bornholm;TOT Total;2014:2018 2014:2018;79.2
410 Middelfart;TOT Total;2014:2018 2014:2018;80.6
420 Assens;TOT Total;2014:2018 2014:2018;80.9
430 Faaborg-Midtfyn;TOT Total;2014:2018 2014:2018;80.9
440 Kerteminde;TOT Total;2014:2018 2014:2018;81.9
450 Nyborg;TOT Total;2014:2018 2014:2018;80.6
461 Odense;TOT Total;2014:2018 2014:2018;80.9
479 Svendborg;TOT Total;2014:2018 2014:2018;81.0
480 Nordfyns;TOT Total;2014:2018 2014:2018;80.8
482 Langeland;TOT Total;2014:2018 2014:2018;80.0
492 Ærø;TOT Total;2014:2018 2014:2018;..
510 Haderslev;TOT Total;2014:2018 2014:2018;81.3
530 Billund;TOT Total;2014:2018 2014:2018;81.2
540 Sønderborg;TOT Total;2014:2018 2014:2018;81.2
550 Tønder;TOT Total;2014:2018 2014:2018;80.6
561 Esbjerg;TOT Total;2014:2018 2014:2018;80.4
563 Fanø;TOT Total;2014:2018 2014:2018;..
573 Varde;TOT Total;2014:2018 2014:2018;81.5
575 Vejen;TOT Total;2014:2018 2014:2018;81.5
580 Aabenraa;TOT Total;2014:2018 2014:2018;80.7
607 Fredericia;TOT Total;2014:2018 2014:2018;80.5
615 Horsens;TOT Total;2014:2018 2014:2018;81.0
621 Kolding;TOT Total;2014:2018 2014:2018;81.1
630 Vejle;TOT Total;2014:2018 2014:2018;80.9
657 Herning;TOT Total;2014:2018 2014:2018;81.3
661 Holstebro;TOT Total;2014:2018 2014:2018;81.6
665 Lemvig;TOT Total;2014:2018 2014:2018;80.2
671 Struer;TOT Total;2014:2018 2014:2018;81.2
706 Syddjurs;TOT Total;2014:2018 2014:2018;81.5
707 Norddjurs;TOT Total;2014:2018 2014:2018;79.5
710 Favrskov;TOT Total;2014:2018 2014:2018;81.8
727 Odder;TOT Total;2014:2018 2014:2018;82.0
730 Randers;TOT Total;2014:2018 2014:2018;80.0
740 Silkeborg;TOT Total;2014:2018 2014:2018;81.4
741 Samsø;TOT Total;2014:2018 2014:2018;..
746 Skanderborg;TOT Total;2014:2018 2014:2018;82.0
751 Aarhus;TOT Total;2014:2018 2014:2018;81.5
756 Ikast-Brande;TOT Total;2014:2018 2014:2018;81.2
760 Ringkøbing-Skjern;TOT Total;2014:2018 2014:2018;81.3
766 Hedensted;TOT Total;2014:2018 2014:2018;81.6
773 Morsø;TOT Total;2014:2018 2014:2018;79.9
779 Skive;TOT Total;2014:2018 2014:2018;81.1
787 Thisted;TOT Total;2014:2018 2014:2018;80.2
791 Viborg;TOT Total;2014:2018 2014:2018;81.5
810 Brønderslev;TOT Total;2014:2018 2014:2018;81.1
813 Frederikshavn;TOT Total;2014:2018 2014:2018;80.2
820 Vesthimmerlands;TOT Total;2014:2018 2014:2018;80.4
825 Læsø;TOT Total;2014:2018 2014:2018;..
840 Rebild;TOT Total;2014:2018 2014:2018;80.8
846 Mariagerfjord;TOT Total;2014:2018 2014:2018;80.4
849 Jammerbugt;TOT Total;2014:2018 2014:2018;80.8
851 Aalborg;TOT Total;2014:2018 2014:2018;80.6
