KOMMUNEDK;INDKN;TID;INDHOLD
766 Hedensted;60 60 per cent of median income;2011 2011;7.5
779 Skive;60 60 per cent of median income;2011 2011;9.9
791 Viborg;60 60 per cent of median income;2011 2011;9.4
813 Frederikshavn;60 60 per cent of median income;2011 2011;9.2
825 Læsø;60 60 per cent of median income;2011 2011;8.1
846 Mariagerfjord;60 60 per cent of median income;2011 2011;9.6
851 Aalborg;60 60 per cent of median income;2011 2011;14.5
000 All Denmark;60 60 per cent of median income;2010 2010;12.0
147 Frederiksberg;60 60 per cent of median income;2010 2010;16.5
153 Brøndby;60 60 per cent of median income;2010 2010;13.5
157 Gentofte;60 60 per cent of median income;2010 2010;9.6
161 Glostrup;60 60 per cent of median income;2010 2010;9.7
165 Albertslund;60 60 per cent of median income;2010 2010;16.2
169 Høje-Taastrup;60 60 per cent of median income;2010 2010;11.6
175 Rødovre;60 60 per cent of median income;2010 2010;11.0
185 Tårnby;60 60 per cent of median income;2010 2010;8.6
190 Furesø;60 60 per cent of median income;2010 2010;7.4
210 Fredensborg;60 60 per cent of median income;2010 2010;8.7
219 Hillerød;60 60 per cent of median income;2010 2010;8.1
230 Rudersdal;60 60 per cent of median income;2010 2010;8.5
250 Frederikssund;60 60 per cent of median income;2010 2010;7.4
259 Køge;60 60 per cent of median income;2010 2010;9.0
265 Roskilde;60 60 per cent of median income;2010 2010;9.9
270 Gribskov;60 60 per cent of median income;2010 2010;7.4
316 Holbæk;60 60 per cent of median income;2010 2010;10.3
326 Kalundborg;60 60 per cent of median income;2010 2010;9.8
330 Slagelse;60 60 per cent of median income;2010 2010;12.1
340 Sorø;60 60 per cent of median income;2010 2010;8.9
360 Lolland;60 60 per cent of median income;2010 2010;13.8
376 Guldborgsund;60 60 per cent of median income;2010 2010;11.7
400 Bornholm;60 60 per cent of median income;2010 2010;10.0
420 Assens;60 60 per cent of median income;2010 2010;8.7
440 Kerteminde;60 60 per cent of median income;2010 2010;7.8
461 Odense;60 60 per cent of median income;2010 2010;16.0
480 Nordfyns;60 60 per cent of median income;2010 2010;8.8
492 Ærø;60 60 per cent of median income;2010 2010;11.9
530 Billund;60 60 per cent of median income;2010 2010;8.7
550 Tønder;60 60 per cent of median income;2010 2010;12.6
563 Fanø;60 60 per cent of median income;2010 2010;7.5
575 Vejen;60 60 per cent of median income;2010 2010;9.7
607 Fredericia;60 60 per cent of median income;2010 2010;9.8
621 Kolding;60 60 per cent of median income;2010 2010;10.1
657 Herning;60 60 per cent of median income;2010 2010;10.1
665 Lemvig;60 60 per cent of median income;2010 2010;10.0
706 Syddjurs;60 60 per cent of median income;2010 2010;8.5
710 Favrskov;60 60 per cent of median income;2010 2010;6.3
730 Randers;60 60 per cent of median income;2010 2010;10.6
741 Samsø;60 60 per cent of median income;2010 2010;12.2
751 Aarhus;60 60 per cent of median income;2010 2010;18.2
760 Ringkøbing-Skjern;60 60 per cent of median income;2010 2010;9.1
773 Morsø;60 60 per cent of median income;2010 2010;11.9
787 Thisted;60 60 per cent of median income;2010 2010;11.3
810 Brønderslev;60 60 per cent of median income;2010 2010;10.0
820 Vesthimmerlands;60 60 per cent of median income;2010 2010;11.9
840 Rebild;60 60 per cent of median income;2010 2010;8.7
849 Jammerbugt;60 60 per cent of median income;2010 2010;10.0
860 Hjørring;60 60 per cent of median income;2010 2010;11.0
101 Copenhagen;60 60 per cent of median income;2009 2009;22.0
151 Ballerup;60 60 per cent of median income;2009 2009;8.5
155 Dragør;60 60 per cent of median income;2009 2009;6.9
159 Gladsaxe;60 60 per cent of median income;2009 2009;10.6
163 Herlev;60 60 per cent of median income;2009 2009;9.0
167 Hvidovre;60 60 per cent of median income;2009 2009;10.5
173 Lyngby-Taarbæk;60 60 per cent of median income;2009 2009;10.2
183 Ishøj;60 60 per cent of median income;2009 2009;13.8
187 Vallensbæk;60 60 per cent of median income;2009 2009;7.0
201 Allerød;60 60 per cent of median income;2009 2009;4.9
217 Helsingør;60 60 per cent of median income;2009 2009;10.1
223 Hørsholm;60 60 per cent of median income;2009 2009;7.6
240 Egedal;60 60 per cent of median income;2009 2009;4.8
253 Greve;60 60 per cent of median income;2009 2009;7.0
260 Halsnæs;60 60 per cent of median income;2009 2009;8.7
269 Solrød;60 60 per cent of median income;2009 2009;6.3
306 Odsherred;60 60 per cent of median income;2009 2009;10.5
320 Faxe;60 60 per cent of median income;2009 2009;9.2
329 Ringsted;60 60 per cent of median income;2009 2009;9.8
336 Stevns;60 60 per cent of median income;2009 2009;8.9
350 Lejre;60 60 per cent of median income;2009 2009;6.6
370 Næstved;60 60 per cent of median income;2009 2009;9.9
390 Vordingborg;60 60 per cent of median income;2009 2009;11.6
410 Middelfart;60 60 per cent of median income;2009 2009;7.5
430 Faaborg-Midtfyn;60 60 per cent of median income;2009 2009;9.5
450 Nyborg;60 60 per cent of median income;2009 2009;8.3
