DECILGEN;KOMMUNEDK;TID;INDHOLD
2DC Second decil;461 Odense;2013 2013;123841
3DC Third decil;461 Odense;2013 2013;150153
4DC Fourth decil;461 Odense;2013 2013;170790
5DC Fifth decil;461 Odense;2013 2013;193979
6DC Sixth decil;461 Odense;2013 2013;218942
7DC Seventh decil;461 Odense;2013 2013;245373
8DC Eigth decil;461 Odense;2013 2013;276747
9DC Ninth decil;461 Odense;2013 2013;320613
10DC Tenth decil;461 Odense;2013 2013;483490
1DC First decil;479 Svendborg;2013 2013;82788
2DC Second decil;479 Svendborg;2013 2013;141075
3DC Third decil;479 Svendborg;2013 2013;162164
4DC Fourth decil;479 Svendborg;2013 2013;180742
5DC Fifth decil;479 Svendborg;2013 2013;202062
6DC Sixth decil;479 Svendborg;2013 2013;223741
7DC Seventh decil;479 Svendborg;2013 2013;247456
8DC Eigth decil;479 Svendborg;2013 2013;276856
9DC Ninth decil;479 Svendborg;2013 2013;321466
10DC Tenth decil;479 Svendborg;2013 2013;499484
1DC First decil;480 Nordfyns;2013 2013;100422
2DC Second decil;480 Nordfyns;2013 2013;149700
3DC Third decil;480 Nordfyns;2013 2013;166340
4DC Fourth decil;480 Nordfyns;2013 2013;183320
5DC Fifth decil;480 Nordfyns;2013 2013;202236
6DC Sixth decil;480 Nordfyns;2013 2013;220804
7DC Seventh decil;480 Nordfyns;2013 2013;242292
8DC Eigth decil;480 Nordfyns;2013 2013;268122
9DC Ninth decil;480 Nordfyns;2013 2013;305325
10DC Tenth decil;480 Nordfyns;2013 2013;461262
1DC First decil;482 Langeland;2013 2013;72162
2DC Second decil;482 Langeland;2013 2013;137318
3DC Third decil;482 Langeland;2013 2013;151836
4DC Fourth decil;482 Langeland;2013 2013;166059
5DC Fifth decil;482 Langeland;2013 2013;182780
6DC Sixth decil;482 Langeland;2013 2013;200008
7DC Seventh decil;482 Langeland;2013 2013;220154
8DC Eigth decil;482 Langeland;2013 2013;244599
9DC Ninth decil;482 Langeland;2013 2013;279195
